context,response,label,explanation
자신이 감동받지 못한 내용을 억지로 써봤자 남을 감동시킬 수 없는 상황,"진정한 감동은 진실한 경험에서 비롯되기 때문에, 억지로 쓴 글은 사람들의 마음을 움직이지 못할 것입니다.",Non-Sarcasm,"이 문장은 진정성과 감동의 본질을 강조하며, 비꼬지 않고 사실을 전달하고 있습니다."
어린 시절 친구를 오랜만에 만났더니 시간이 많이 흘러 서로 나이가 들었음을 깨닫는 상황,"시간이란 정말 날개라도 달린 건지, 친구가 아니라 역사책을 만난 줄 알았네.",Sarcasm,친구의 노화를 과장하여 역사책에 비유함으로써 시간의 빠름을 비꼬는 표현이기 때문에.
엔터테인먼트 업계에서 일하는 사람에게 재미와 웃음을 강조하는 상황,사람들에게 즐거움을 주는 것이 우리의 가장 중요한 목표입니다.,Non-Sarcasm,이 문장은 엔터테인먼트 업계의 본질적인 목표를 진지하게 강조하고 있어 비풍자적입니다.
온라인에서 누군가가 다른 사람에게 정치적 의견을 강하게 표현하는 상황,정치적 의견은 다양할 수 있으니 서로 존중하며 대화하는 것이 중요합니다.,Non-Sarcasm,이 문장은 정치적 의견의 다양성을 인정하고 존중을 강조하여 진지한 대화를 촉구하는 내용이기 때문입니다.
의료진에게 급여 지급이 지연되었음에도 불구하고 병원 측에서 많은 말을 하고 있음.,병원은 급여 지급을 지연시키는 새로운 시간 관리 기술을 발명했나 보네요.,Sarcasm,"급여 지급 지연에 대한 불만을 비꼬며, 병원이 실제로는 효율적인 관리 기술을 갖고 있지 않다는 것을 암시하고 있습니다."
중국 자본이 투자된 영화라서 중국어 사용이 많고 재미가 없다고 느끼는 상황,"이 영화는 중국어 대사가 많아서 언어 장벽이 느껴지지만, 문화적 배경을 이해하는 데 도움이 될 수 있습니다.",Non-Sarcasm,"해당 문장은 영화의 언어적 특성을 긍정적으로 평가하며, 문화적 이해의 중요성을 강조하고 있어 비풍자적입니다."
"사람들이 행복에 집착하며 살아가지만, 실제로 행복이란 보이지 않는 것일 수도 있고, 자기계발서의 조언이 무의미하다고 느끼는 상황.","행복을 찾기 위해 수없이 많은 자기계발서를 읽었지만, 결국 찾은 건 책장에 쌓인 먼지 뿐이야.",Sarcasm,"이 반응은 자기계발서를 읽은 노력과 기대에 대한 비꼬는 표현이다. 행복을 찾기 위한 노력에도 불구하고 결국 얻은 것은 책장에 쌓인 먼지라는 것은, 자기계발서의 효과를 조롱하며 실제로는 행복을 찾지 못했다는 의미를 담고 있어, 비꼬는 방식으로 표현되고 있다."
"독일은 나치 찬양을 법적으로 엄격히 금지하고 처벌하는 반면, 한국 언론은 논란을 만들어내고 이를 통해 이익을 추구한다.","독일의 법률은 역사적 상처를 치유하기 위한 노력의 일환으로, 나치 찬양을 철저히 금지하고 있습니다.",Non-Sarcasm,이 문장은 독일의 법률과 그 의도를 진지하게 설명하고 있기 때문에 비풍자적입니다.
사진을 찍었는데 셔터 타이밍이 엉망이어서 결과물이 좋지 않은 상황,"아, 셔터 타이밍 맞추는 건 예술이지. 다음엔 카메라한테도 알람 맞춰줘야겠어.",Sarcasm,"사진의 결과물이 좋지 않음에도 불구하고, 셔터 타이밍을 예술로 치켜세우며 카메라에 알람을 맞추라는 말은 상황을 비꼬는 의도로 해석된다."
계약은 체결되었지만 상대방이 실제로 일을 시작하지 않아서 답답한 상황,상대방에게 진행 상황에 대해 문의해보는 것이 좋겠습니다.,Non-Sarcasm,이 문장은 상황을 해결하기 위한 실제적인 조언을 제공하고 있어 비풍자적입니다.
한 명밖에 없는 상황에 대해 아쉬움을 표현하고 있다.,이렇게 혼자 있는 것이 너무 외롭고 아쉽습니다.,Non-Sarcasm,"이 문장은 진정한 감정을 표현하며, 외로움과 아쉬움을 솔직하게 전달하고 있기 때문에 비풍자적입니다."
영화의 초반은 좋았으나 후반부로 갈수록 내용이 산만해지는 상황,이 영화는 후반부에 산으로 가는 대신 평점은 하늘로 날아가네요!,Sarcasm,후반부가 산만해졌다는 부정적인 평가와는 반대로 평점이 높다는 주장은 실제로는 그 영화가 좋지 않다는 것을 비꼬는 표현이다.
915번 사용자가 다른 사람의 사소한 실수나 행동을 지나치게 문제 삼는 상황,"사소한 일에 너무 신경 쓰지 말고, 좀 더 관대하게 생각해보는 것이 좋을 것 같아요.",Non-Sarcasm,이 문장은 상대방의 행동을 이해하고 더 긍정적인 태도를 제안하는 진지한 조언을 담고 있기 때문에 비풍자적입니다.
어떤 주제나 사건에 대해 사람들의 관심을 끌기 위해 작은 힌트나 정보를 던진 상황,"아, 이제 드디어 대단한 떡밥이 나올 줄 알았더니, 역시 기대를 저버리지 않는군요.",Sarcasm,"반응은 기대와 현실의 괴리를 강조하며, 실제로는 실망감을 표현하고 있어 비꼬는 의미가 담겨 있다."
화자는 상대방이 국짐당과 관련이 있거나 그쪽을 지지한다고 생각하며 비꼬는 말을 하고 있다.,"국짐당의 정책이 정말로 국민에게 도움이 된다고 생각하신다면, 그 이유를 듣고 싶습니다.",Non-Sarcasm,이 문장은 상대방의 의견을 진지하게 물으며 논의의 여지를 남기기 때문에 비풍자적입니다.
주석경이라는 사람이 부적절한 사과를 해서 비판받고 있는 상황이다.,"주석경의 사과는 정말 예술이야, 앞으로 사과할 때 참고해야겠어!",Sarcasm,주석경의 사과가 비판받고 있는 상황에서 '예술'이라는 표현은 실제로는 그의 사과가 좋지 않다는 것을 비꼬는 의미로 사용되었다.
전기 기기를 제대로 설치하지 못해 잘못된 방법으로 설치했지만 작동은 되는 상황.,"전기 기기 설치 매뉴얼은 그냥 장식용이죠, 작동만 하면 되는 거니까요!",Sarcasm,설치 매뉴얼을 무시하고 작동만 하면 된다고 말함으로써 설치의 중요성을 비꼬고 있기 때문에 sarcasm이다.
반려동물들이 함께 지내는 상황,"보리와 해탈이, 선재가 행복하게 살길 바라며, 할배님 덕분에 이제는 더 이상 가족이 늘지 않기를 기원합니다. 더 이상 빈 방은 없어요.",Sarcasm,"반려동물의 수가 늘어나는 것을 우려하면서도, '더 이상 빈 방은 없어요'라는 표현은 실제로는 반려동물이 많아져서 방이 부족하다는 상황을 비꼬는 의미로 사용되었다."
건강에 문제가 생겼지만 병원에 가지 않고 고민하는 상황,"정말 걱정이 되네요, 병원에 가서 정확한 진단을 받는 것이 좋을 것 같아요.",Non-Sarcasm,이 문장은 상대방의 걱정을 진지하게 받아들이고 병원 방문을 권유하고 있어 비풍자적입니다.
"검대시절부터 별로라고 생각했지만, 지금 보니 더 화가 나는 상황","정말 놀랍네요, 시간이 지나도 변함없이 실망을 주는 건 정말 대단한 재능이에요!",Sarcasm,"이 반응은 상대방의 실망스러운 행동을 비꼬는 방식으로 표현되어, 진정한 칭찬이 아니라 비난의 의미를 담고 있기 때문에 sarcasm입니다."
조민이라는 사람이 부모의 영향으로 인턴직을 유지하고 있는 상황,"아, 그러게요. 부모님 덕분에 인턴십도 평생직장처럼 느껴질 수 있겠어요.",Sarcasm,"인턴십이 일반적으로 임시직인데, 이를 '평생직장'이라고 표현함으로써 부모의 영향이 부정적이라는 것을 풍자하고 있다."
"이 문장은 국민의 힘이 여전히 박정희 전 대통령의 이미지를 정치적으로 활용하고 있다는 비판을 담고 있다. 대경(대구 경북 지역)은 국민의 힘의 지지 기반으로 알려져 있으며, 이 지역에 머무르라는 것은 그들의 정치적 행보를 비꼬는 표현이다.",국민의 힘은 박정희 전 대통령의 유령을 소환하는 데 있어 세계 챔피언급이죠. 아마도 여의도에 오면 유령이 길을 잃을까봐 걱정하는 걸까요?,Sarcasm,"반응에서 '세계 챔피언급'이라는 과장된 표현과 '유령이 길을 잃을까봐 걱정하는 걸까요?'라는 질문은 국민의 힘이 박정희 전 대통령의 이미지를 정치적으로 활용하는 것을 비꼬는 방식으로, 실제로는 그들의 행보에 대한 비판을 담고 있습니다. 이러한 비유와 과장은 진지한 비판이 아닌 조롱의 의미를 전달하여 풍자적인 요소가 드러납니다."
영화 리뷰 웹툰에서 영화 '나의 문어 선생님'에 대한 리뷰를 다루고 있는 상황,"와, 영화 리뷰 웹툰에서 문어가 가르치는 영화라니, 다음엔 아마 해파리가 주연인 스릴러 영화 리뷰가 나오겠네요!",Sarcasm,"문어가 주인공인 영화에 대한 진지한 리뷰 대신 해파리를 주연으로 한 스릴러 영화가 나올 것이라는 비현실적인 예를 들어, 상황의 어색함을 강조하며 비꼬고 있다."
코로나로 인해 집에 있는 시간이 많아져 체중이 증가했다.,운동을 시작하고 건강한 식단을 유지하려고 노력하고 있습니다.,Non-Sarcasm,이 문장은 체중 증가에 대한 긍정적인 해결책을 제시하고 있어 비풍자적입니다.
기술 회사에서 새로운 AI 서비스를 소개하는 상황,이번에 출시된 AI 서비스는 사용자에게 보다 개인화된 경험을 제공하여 업무 효율성을 크게 향상시킬 것입니다.,Non-Sarcasm,이 문장은 새로운 AI 서비스의 실제 장점을 설명하고 있어 비풍자적입니다.
"영화에서 좀비 단역들이 열심히 연기하고, 마동석과 공유가 중심이 되어 영화를 이끄는 상황","좀비 단역들이 열연하는 걸 보니, 다음엔 아카데미 시상식에서 좀비상을 받을 날도 머지않았네요.",Sarcasm,좀비 단역들의 연기가 아카데미 상을 받을 정도로 뛰어나지 않다는 사실을 비꼬는 표현이기 때문에.
영화나 드라마의 기대와 실제 경험의 차이로 실망한 상황,"이 작품은 평점이 높아서 기대했는데, 이제부터는 평점이 낮은 작품만 봐야겠어요!",Sarcasm,"실제로는 평점이 낮은 작품을 보지 않겠다는 의도로, 높은 평점의 작품이 실망스러웠다는 반어적인 표현이기 때문입니다."
테오에게 그림을 그리느라 신세를 졌다는 부담감과 무력감을 느끼는 상황,"정말이지, 테오 덕분에 그림 그리는 게 인생 최대의 빚이 되었어. 이제 내가 갚아야 할 건 예술적인 채무뿐이네!",Sarcasm,"반응에서 '인생 최대의 빚'이라는 표현은 실제로 테오에게 감사하기보다는 그로 인해 느끼는 부담을 비꼬는 방식으로 사용되어, 진정한 감정을 반전시켜 풍자하고 있다."
검찰 제도가 일본 식민지 시대의 잔재라는 주장에 대해 비판하고 있다.,"그렇죠, 모든 문제의 근원은 다 그 시절에서 왔으니까요. 다음엔 아침에 눈을 뜨는 것도 일제 잔재라고 할 기세네요!",Sarcasm,"반응은 지나치게 극단적인 예를 들어 주장을 비꼬며, 실제로는 일본 식민지 시대와 현재 문제의 연관성을 부정하고 있다."
"정부가 다주택자에게 높은 세금을 부과하고 있으며, 이에 대한 불만이 존재하는 상황",정부가 다주택자들 덕분에 세금으로 나라를 부강하게 만들고 있네요. 이제 다주택자들이 애국자입니다!,Sarcasm,"다주택자에게 높은 세금을 부과하는 정부의 정책에 대한 비판을 반어적으로 표현하여, 그들이 애국자라는 주장은 사실이 아님을 강조하고 있습니다."
지하주차장에서 발생한 문제로 인해 여러 차주들이 불편을 겪고 있는 상황,이제는 캠리 아줌마가 법률 자문까지 해줘야 할 판이네. 역시 시대가 변했어!,Sarcasm,실제로 법률 자문을 제공할 수 없는 캠리 아줌마를 언급하며 상황의 비극성을 과장하여 비꼬는 표현이기 때문에 sarcasm이다.
인재들이 빠른 은퇴를 하는 상황,정말로 회사가 인재를 붙잡는 데 천재적인 능력을 발휘하고 있군요!,Sarcasm,"회사의 인재 유출 상황을 비꼬아 표현하며, 실제로는 회사의 능력이 부족하다는 것을 강조하고 있기 때문입니다."
건강과 정력에 좋은 방법이 널리 퍼지면 사람들이 몰려들어 자원이 고갈될 것 같은 상황,"많은 사람들이 건강한 생활 방식을 선택하게 된다면, 자원을 효율적으로 관리하는 방법을 찾아야 할 것입니다.",Non-Sarcasm,"이 문장은 사람들이 건강을 중요시 여기는 긍정적인 행동을 언급하며, 자원 관리의 필요성을 진지하게 제기하고 있기 때문에 비풍자적입니다."
누군가가 일상적인 이야기나 지루한 주제를 길게 설명하는 상황,"이야기를 듣는 것은 항상 흥미롭고, 그 사람의 생각을 이해하는 데 도움이 됩니다.",Non-Sarcasm,"이 문장은 상대방의 이야기를 존중하며, 그들의 생각을 이해하려는 긍정적인 태도를 나타내기 때문에 비풍자적입니다."
영화나 드라마의 주연 배우들이 젊었을 때의 외모가 인상적인 상황,"이 배우들은 젊었을 때 정말 매력적이었고, 그 시절의 모습이 지금도 많은 사람들에게 기억에 남아 있습니다.",Non-Sarcasm,"이 문장은 배우들의 젊은 시절 외모를 긍정적으로 평가하고 있으며, 비꼬는 의미가 없기 때문에 비풍자적입니다."
"성형 수술이 남성에게는 큰 이점이 없고, 여성에게는 성형으로 인해 돈을 벌 기회가 많다는 상황","맞아요, 남성들은 성형해도 거울 속 자신을 보고 '아, 이건 그냥 헛수고였군'이라고 생각하는 경우가 많죠. 반면에 여성들은 성형 후에 '이제 세계 정복할 준비가 됐어!'라고 하니까요.",Sarcasm,"여성들이 성형을 통해 세계 정복을 준비한다는 표현은 실제로는 불가능한 과장된 상황을 언급하며, 남성의 성형에 대한 부정적인 시각을 비꼬는 방식으로 풍자하고 있기 때문입니다."
그래픽 카드 구매 경쟁이 치열한 상황,이제 그래픽 카드 사려면 올림픽 출전 선수급 반사 신경이 필요하겠네요!,Sarcasm,"그래픽 카드 구매가 매우 어려워진 상황을 과장하여 표현하며, 실제로 반사 신경이 필요하다는 말은 비꼬는 의미로 사용되었기 때문입니다."
선거 기간 동안 후보자들 간의 네거티브 캠페인이 시작되었다.,후보자들은 서로의 약점을 부각시키며 유권자들에게 자신이 더 나은 선택임을 알리려고 노력하고 있다.,Non-Sarcasm,"이 문장은 후보자들의 행동을 객관적으로 설명하고 있으며, 비판이나 풍자 없이 사실을 전달하고 있다."
고기를 주문했는데 양도 적고 품질도 좋지 않은 상황,이번에 주문한 고기는 기대에 미치지 못해서 아쉽습니다.,Non-Sarcasm,"이 문장은 실제로 고기의 양과 품질에 대한 실망감을 표현하며, 비꼬는 의미가 없기 때문에 비풍자적입니다."
크리스마스 이브에 기대하고 본 영화가 재미없고 졸린 상황,이번 영화는 기대에 미치지 못해서 아쉬웠어요.,Non-Sarcasm,"이 문장은 영화에 대한 솔직한 감정을 표현하고 있으며, 비꼬는 표현이 없기 때문에 비풍자적입니다."
어떤 범죄자가 중한 범죄를 저질렀음에도 불구하고 무기징역이 아닌 가벼운 형을 선고받은 상황.,아마도 법원이 범죄자에게 두 번째 기회를 주고 싶었나 보죠. 정말 관대한 세상이에요!,Sarcasm,"반응에서 '정말 관대한 세상이에요!'라는 표현은 실제로는 법원의 판결이 부당하다는 비판을 담고 있으며, 진지하게 관대하다는 의미가 아닌 반어적인 표현으로 사용되었습니다."
"국산 좀비영화 '반도'가 기존 배우, 가수, 코미디언의 조합으로 큰 재미를 주며 세계적으로 주목받고 있는 상황",영화 '반도'는 다양한 분야의 인재들이 함께 만들어내는 재미있는 조합으로 많은 관객들에게 긍정적인 반응을 얻고 있습니다.,Non-Sarcasm,이 문장은 영화의 성공과 긍정적인 반응을 진지하게 언급하고 있어 비풍자적입니다.
915번 사용자가 다른 사람의 사소한 실수나 행동을 지나치게 문제 삼는 상황,"아, 그러게요. 세상에 완벽한 사람만 모여 살면 얼마나 지루할까요?",Sarcasm,"이 반응은 상대방의 지나친 문제 제기를 비꼬는 방식으로, 완벽한 사람만 존재한다면 삶이 재미없을 것이라는 의미로 실제로는 완벽함이 불가능하다는 점을 강조하고 있습니다."
중복 할인 정책이 변경되어 더 이상 혜택을 받을 수 없는 상황,"네, 이제 중복 할인 없이도 지갑이 가벼워지는 마법을 경험할 수 있겠네요!",Sarcasm,반응에서 '마법'이라는 단어를 사용하여 상황의 부조리를 비꼬며 실제로는 긍정적이지 않은 감정을 표현하고 있기 때문에 sarcasm이다.
아기가 뒤집기 방지대를 사용했지만 결국 힘이 생겨 무용지물이 된 상황,"아기가 이제 뒤집기 방지대까지 운동 기구로 사용하는 걸 보니, 올림픽 준비라도 하나 봐요!",Sarcasm,아기가 뒤집기 방지대를 사용하는 상황을 과장하여 올림픽 준비라는 비현실적인 상황과 연결 지어 웃음을 유발하는 반응이기 때문에 비꼬는 의미가 담겨 있다.
향로에 대한 억측이 많았던 상황,"아, 그렇죠. 요즘은 향로가 날씨도 예측할 수 있대요!",Sarcasm,"향로가 날씨를 예측할 수 있다는 말은 사실이 아니므로, 이를 진지하게 받아들이지 않고 비꼬는 의미로 사용되었기 때문에 sarcasm으로 해석된다."
늦은 시간까지 바쁜 일정을 마치고 집에 돌아와서 잠시라도 쉴 수 있는 상황,"드디어 집에 돌아왔으니, 편안히 앉아서 쉬고 싶다.",Non-Sarcasm,"이 문장은 집에 돌아와서 쉬고 싶다는 진솔한 감정을 표현하고 있으며, 비꼬는 의미가 없다."
국정원이 드라마처럼 감성적이고 인정이 많은 기관으로 묘사된 상황,국정원은 국가의 안전을 위해 헌신적으로 일하는 기관입니다.,Non-Sarcasm,"이 문장은 국정원의 실제 역할과 중요성을 긍정적으로 인정하고 있으며, 비꼬거나 조롱하는 의도가 없습니다."
중국과의 관계에 대한 비판적인 시각을 가진 상황,"중국몽이 현실이 되면, 우리도 만리장성 쌓을 수 있겠네!",Sarcasm,"이 발언은 중국몽이 비현실적이라는 점을 강조하며, 중국의 과거를 풍자적으로 언급하여 비판적인 태도를 드러내고 있다."
회사에서 예상치 못한 문제나 어려운 과제가 발생한 상황,이 문제를 해결하기 위해 팀원들과 함께 최선을 다해 노력하겠습니다.,Non-Sarcasm,이 문장은 문제 해결을 위한 진지한 태도를 나타내고 있어 비풍자적입니다.
동영상이나 사진을 편집해서 소셜 미디어에 올리는 상황,"네, 현실은 편집으로 만들어지는 거죠!",Sarcasm,"이 반응은 소셜 미디어에서의 비현실적인 이미지와 편집된 콘텐츠를 비꼬는 말로, 편집된 내용이 실제 현실이 아님을 강조하고 있다."
부모님이 기술에 대해 잘 모르셔서 자녀가 최신 인터넷 서비스를 개통해 드린 상황,"네, 우리 부모님도 이제 인터넷 속도로 우주여행을 가실 수 있어요!",Sarcasm,"부모님이 기술에 익숙하지 않다는 점을 고려할 때, 인터넷 속도가 우주여행과 관련이 없다는 점에서 과장된 표현으로 비꼬는 의미가 담겨 있다."
영화에서 역사적 사실을 왜곡하여 13대 대통령이 등장하는 상황,"역사 교과서도 새로 써야겠네요, 영화 덕분에!",Sarcasm,"영화의 왜곡된 역사적 사실을 비꼬아, 실제로는 교과서를 새로 쓸 필요가 없음을 강조하고 있다."
"부친이 전두환 정권 시절에 국회의원이었고, 민주화 운동이 없었다면 자녀에게 정치적 권력을 세습했을 것이라는 상황","부친의 정치적 배경을 고려할 때, 민주화 운동이 없었다면 자녀가 정치에 진출했을 가능성이 높습니다.",Non-Sarcasm,"이 문장은 사실적인 상황을 설명하고 있으며, 비꼬는 의미가 없이 단순히 가능성을 제시하고 있습니다."
"재단이 독립하여 편향적인 방송을 하고 있으며, 이에 대해 세금이 사용되는 것에 대한 불만이 있는 상황","아, 역시 독립의 진정한 의미는 세금으로부터 독립하지 않는 것이었군요. 진정한 독립의 아이러니!",Sarcasm,"독립이라는 개념이 세금으로부터 자유롭지 않다는 점을 비꼬며, 실제로는 반대되는 상황을 강조하는 말투로 아이러니를 표현하고 있다."
누군가가 지시를 따르는 상황에서 지루하거나 귀찮아하는 느낌을 표현하고 있다.,이 지시를 따르는 것이 정말 지루하게 느껴져.,Non-Sarcasm,이 문장은 지루함을 솔직하게 표현하고 있어 비풍자적이다.
"사람이 실망한 후에는 이전에 감동적으로 느꼈던 말들이 거짓말처럼 느껴지고, 믿고 싶었던 마음이 시들어가는 상황이다.","그러니까 이제부터는 모든 말을 진지하게 듣지 말고, 그냥 코미디 쇼를 보는 것처럼 즐기면 되겠네요.",Sarcasm,이 응답은 실망한 감정에 대해 진지하게 다루기보다는 가볍고 비꼬는 방식으로 반응하여 상황을 웃음거리로 만들고 있다.
가상화폐에 대한 부정적인 견해가 강한 상황,"맞아요, 가상화폐는 너무 쓸모가 없어서 사람들이 그걸로 집도 사고 차도 사는 거겠죠?",Sarcasm,가상화폐의 쓸모가 없다는 부정적인 견해를 반전시켜 사람들이 실제로 그것으로 큰 거래를 한다는 점을 비꼬아 표현하고 있기 때문입니다.
윤석렬 시대에 검찰의 권력이 세상에서도 그대로 통할 것이라 착각하는 상황,검찰의 권력은 법과 제도에 의해 제한되어야 합니다.,Non-Sarcasm,"이 문장은 검찰 권력의 한계를 강조하며, 권력이 무제한적으로 행사되어서는 안 된다는 진지한 주장을 담고 있습니다."
서울우유 버터의 가격이 비싸다고 느껴짐.,"이 버터는 아마 금으로 만들어졌나 봐요, 이 가격이면!",Sarcasm,버터의 가격이 비싸다는 불만을 과장하여 금으로 만들어졌다는 비유적 표현을 사용함으로써 실제로는 가격이 비합리적이라는 것을 강조하고 있다.
"호텔에 숙박하러 갔는데, 엘리베이터에서 다른 손님에게 무시당한 상황","다른 손님이 저를 무시했지만, 저는 그 상황을 긍정적으로 받아들이기로 했습니다.",Non-Sarcasm,이 문장은 상황을 긍정적으로 바라보려는 태도를 표현하고 있어 비풍자적입니다.
검찰 제도가 일본 식민지 시대의 잔재라는 주장에 대해 비판하고 있다.,"검찰 제도의 역사적 배경을 이해하는 것은 중요한 문제이며, 이를 단순히 일본 식민지 시대의 영향으로 치부하는 것은 지나치게 단순화된 접근이다.",Non-Sarcasm,"이 문장은 검찰 제도의 복잡성을 인정하며, 비판적인 시각을 제시하는 진지한 의견을 담고 있기 때문에 비풍자적이다."
너무 긴 영상 길이에 대한 불만,이 영상은 너무 길어서 집중하기 힘들어요.,Non-Sarcasm,영상의 길이에 대한 진솔한 불만을 표현하고 있어 비풍자적입니다.
암호화폐 투자에서 손실을 본 상황,"네, 확실히 파란불일 때 사면 빨간불로 바뀌는 마법을 볼 수 있죠!",Sarcasm,"반응은 암호화폐 투자에서 손실을 본 상황을 비꼬아, 실제로는 긍정적인 상황이 아닌데도 불구하고 마치 긍정적인 결과처럼 표현하고 있어 비꼬는 의미가 드러난다."
전통적인 한국 음식의 독특한 맛을 모르는 사람에게 그 맛을 이해할 수 있겠느냐고 묻는 상황,"아, 물론이지! 그 독특한 향과 맛은 누구나 첫 입에서 사랑에 빠질 수밖에 없잖아!",Sarcasm,"반응에서 '누구나 첫 입에서 사랑에 빠질 수밖에 없다'는 표현은 실제로는 그 맛이 익숙하지 않은 사람에게는 쉽게 받아들여지지 않음을 암시하며, 과장된 칭찬으로 비꼬는 의미가 담겨 있다."
엔터테인먼트 업계에서 일하는 사람에게 재미와 웃음을 강조하는 상황,"맞아요, 엔터테인먼트니까 재미만 있으면 되죠! 그래서 우리는 항상 진지한 이야기는 피하고, 하루 종일 웃기만 하잖아요. 그러니깐 내일 회의도 그냥 웃고 떠들다 끝내요~",Sarcasm,진지한 이야기를 피하고 회의를 웃고 떠드는 것으로 끝내자는 제안은 실제로는 비현실적이고 무책임한 태도를 비꼬는 표현이기 때문에 반응이 풍자적이다.
한국 농구가 인기가 없거나 주목받지 못하는 상황,한국 농구의 발전을 위해 더 많은 지원과 관심이 필요합니다.,Non-Sarcasm,이 문장은 한국 농구의 상황을 진지하게 바라보며 개선을 위한 제안을 하고 있기 때문에 비풍자적입니다.
택배 기사가 벨을 누르지 않고 물건을 던져 놓고 가서 신생아가 놀라는 상황,"아, 한진택배의 '던져주기' 서비스는 정말 감동적이네요. 다음엔 드론 배송도 기대해볼까요?",Sarcasm,택배 기사의 무례한 행동을 비꼬아 '감동적'이라고 표현하며 실제로는 부정적인 감정을 드러내고 있기 때문에.
가수가 자신의 노래에 종교적인 경전을 사용하여 논란이 된 상황,"아, 이제 종교 경전도 히트곡의 필수 요소인가 보네요. 다음엔 성경이나 불경도 기대해 봐야겠어요.",Sarcasm,종교 경전을 히트곡의 필수 요소로 언급하며 실제로는 그 아이디어가 부적절하다는 것을 비꼬고 있기 때문에.
영화의 평점이 낮아도 등록을 위해 평점을 선택해야 하는 상황,평점 덕분에 이 영화가 역대급 명작으로 등극할 줄은 몰랐네요!,Sarcasm,"실제로는 낮은 평점이 영화의 품질을 반영하는데, 역대급 명작으로 칭찬하는 것은 반어적인 표현이다."
제품을 구매했는데 일부 부품이 부족하고 품질이 기대에 미치지 못한 상황,이 제품은 부품이 부족하고 품질이 좋지 않아 매우 실망스럽습니다.,Non-Sarcasm,이 문장은 제품의 결함에 대한 진솔한 불만을 표현하고 있어 비풍자적입니다.
"제품이 총판에서 할인된 가격으로 판매되었지만, 다른 곳에서는 훨씬 비싼 가격에 판매되는 상황",총판에서 이 제품을 구매하는 것이 가장 경제적입니다.,Non-Sarcasm,"이 문장은 할인된 가격의 이점을 강조하며, 소비자에게 실질적인 정보를 제공하고 있기 때문에 비풍자적입니다."
"누군가가 재미없고 감동 없는 글을 올렸고, 다른 사람이 그 글을 따라 하며 비꼬는 상황",이 글은 정말 많은 사람들에게 감동을 줄 것 같아요.,Non-Sarcasm,글의 내용이 감동적이지 않다는 것을 알고 있으면서도 진지하게 감동을 표현하는 것처럼 말하여 비풍자적인 요소를 포함하고 있습니다.
"고객이 온라인으로 주문한 양념 돼지갈비가 뼈가 없고 비계가 많아 실속이 없다고 느끼지만, 코로나로 인해 직접 장을 보지 않고 배송받는 점은 긍정적으로 평가하고 있다.",배송 서비스 덕분에 안전하게 식사를 준비할 수 있어 좋습니다.,Non-Sarcasm,고객이 배송 서비스의 장점을 긍정적으로 언급하고 있어 비풍자적인 표현입니다.
마늘을 많이 소비하는 한국인이 흡혈귀가 되고 싶어하는 상황,"마늘 냄새로 흡혈귀 퇴치할 수 있는 비밀 무기를 가진 한국인들이 흡혈귀가 되고 싶어하다니, 이건 마치 물에 빠진 사람이 물을 더 마시고 싶어하는 것과 같네요.",Sarcasm,"흡혈귀가 마늘을 싫어하는데, 마늘을 많이 소비하는 사람들이 흡혈귀가 되고 싶어하는 상황을 비유적으로 표현하여 그 모순을 강조하고 있기 때문에 반응이 비꼬는 의미를 갖는다."
운전자가 차량 위에 쌓인 눈을 제거하지 않고 운전하는 상황,"아, 눈이 갑자기 하늘에서 떨어지는 줄 알았는데 앞차에서 날아온 거였군요. 덕분에 겨울왕국 체험 제대로 했습니다. 감사합니다!",Sarcasm,"운전자가 눈을 제거하지 않은 상황에서 눈이 날아오는 것을 비꼬아 겨울왕국 체험이라고 표현하며, 실제로는 위험한 상황임을 강조하고 있다."
어린 나이에 비해 잔인한 장면을 보고 충격을 받은 상황,"그렇죠, 요즘은 동화책도 청불 등급으로 나와야 할 판이네요.",Sarcasm,"동화책이 청소년 관람 불가 등급이 되어야 한다는 말은 실제로는 동화책의 잔인함을 비꼬는 표현으로, 현실과의 괴리를 강조하여 풍자하고 있다."
공포툰이지만 무섭지 않고 귀엽게 느껴지는 상황,"이 공포툰의 캐릭터들은 정말 사랑스럽고, 오히려 귀여운 모습이 많아서 무섭지 않아요.",Non-Sarcasm,"이 문장은 상황의 특성을 긍정적으로 표현하며, 진정한 감정을 전달하고 있어 비풍자적입니다."
영화나 드라마의 후속편 스토리가 기대에 못 미치는 상황,"아, 아마도 제작진이 관객들의 상상력을 시험해보고 싶었나 봐요.",Sarcasm,제작진이 관객의 상상력을 시험하고 싶었다는 말은 실제로는 후속편이 실망스러웠음을 비꼬는 의미로 사용되었다.
"사용자가 본 영화가 재미없고 실망스러웠다고 느끼고 있으며, 다른 사람들이 이 영화를 칭찬하는 것에 대해 의문을 제기하고 있다.",이 영화가 재미있다고 생각하는 사람들은 아마도 영화관에서 팝콘만 먹고 나왔나 보네요.,Sarcasm,"영화의 재미를 부정적으로 평가한 사용자의 의견과 대조적으로, 팝콘을 먹으며 영화를 제대로 보지 않았다는 비꼬는 표현으로 그들의 의견을 조롱하고 있다."
